employee_id,employee_name,department,date,attendance_status,hours_worked,overtime_hours,wellbeing_score,task_overdue_count
E150,Ayesha_39,Sales,2025-02-15,Present,9.21,2.7,7.54,0
E136,Sophia_47,Engineering,2025-04-07,Present,6.85,4.58,6.16,2
E232,Ali_50,Sales,2025-03-29,Present,8.48,0.0,9.66,0
E234,Ahmed_76,QA,2025-04-21,Present,8.1,1.94,4.3,0
E251,Noor_33,Operations,2025-01-05,Present,8.4,4.03,6.91,1
E205,Sophia_24,QA,2025-01-22,Present,8.93,2.95,4.78,0
E227,Sophia_96,Support,2025-04-26,Present,8.13,3.09,5.3,2
E014,Khadija_59,Engineering,2025-03-16,Present,8.08,0.29,6.42,0
E019,Zubair_9,HR,2025-04-24,Present,8.71,2.74,9.8,1
E004,Omar_28,Finance,2025-04-14,Present,7.98,3.15,8.99,3
E210,Omar_43,Logistics,2025-02-19,Present,7.15,3.27,5.96,0
E102,Noor_87,Support,2025-02-05,Absent,0.0,0.0,5.67,0
E124,Ayesha_21,Engineering,2025-04-18,Present,7.29,0.47,4.9,0
E291,Bilal_85,Operations,2025-01-12,Present,6.6,0.86,6.15,0
E090,Mary_4,Support,2025-04-26,Present,8.23,1.67,4.88,0
E089,Khadija_55,Engineering,2025-01-30,Absent,0.0,0.0,4.21,1
E270,Ahmed_13,Sales,2025-04-12,Present,7.87,0.77,6.76,0
E204,Ayesha_6,Finance,2025-02-06,Absent,0.0,0.0,8.18,0
E270,Fatima_28,HR,2025-02-17,Present,9.15,1.89,4.61,0
E273,John_73,Finance,2025-02-28,Present,9.15,0.0,5.44,0
E031,Fatima_38,Logistics,2025-01-22,Present,5.52,3.33,4.01,2
E041,Khadija_2,Finance,2025-03-16,Present,8.92,0.0,3.47,0
E113,Ahmed_79,Engineering,2025-02-09,Present,8.77,0.13,6.43,0
E099,Mary_19,QA,2025-04-08,Absent,0.0,0.0,9.33,0
E023,John_41,Support,2025-03-07,Present,8.17,0.12,4.73,0
E051,Usman_85,HR,2025-04-15,Present,6.63,2.38,7.07,0
E073,Zubair_87,Logistics,2025-02-16,Present,9.67,1.98,2.48,4
E198,Khadija_1,HR,2025-02-09,Present,9.88,3.61,4.83,1
E204,Ali_95,Logistics,2025-01-23,Present,7.28,3.52,5.84,1
E274,Zubair_17,Support,2025-04-24,Present,8.64,1.08,4.61,0
E011,David_71,Operations,2025-04-26,Present,4.98,3.18,7.39,1
E155,Noor_85,Finance,2025-04-03,Present,6.61,2.16,5.78,0
E043,Mary_9,Operations,2025-02-28,Present,8.99,4.27,4.62,3
E044,Bilal_86,Engineering,2025-01-20,Present,7.82,2.29,3.55,0
E240,Sara_53,Finance,2025-01-23,Remote,0.0,0.0,5.73,0
E140,Ali_36,Engineering,2025-04-05,Present,7.43,1.6,7.03,0
E023,Usman_63,Finance,2025-01-28,Present,7.58,3.0,6.44,1
E241,Emma_43,Engineering,2025-02-21,Present,9.89,0.0,7.73,0
E114,Bilal_34,Support,2025-01-02,Present,8.2,2.42,3.47,3
E178,Hina_20,Sales,2025-01-05,Present,7.37,1.23,3.87,1
E079,Ali_29,Finance,2025-04-01,Present,8.37,2.35,5.61,0
E070,Hina_1,Operations,2025-03-27,Present,10.1,0.96,5.85,1
E191,Sophia_72,HR,2025-04-21,Present,8.15,2.89,7.18,0
E146,Ali_64,Sales,2025-01-16,Present,6.29,5.09,5.19,2
E195,Omar_22,Operations,2025-02-20,Present,6.78,1.93,4.82,0
E051,David_27,Engineering,2025-04-27,Present,7.2,2.53,7.1,0
E225,Hina_18,Operations,2025-01-12,Present,6.79,0.0,8.07,0
E116,Ahmed_85,Operations,2025-04-09,Present,7.71,0.73,6.6,0
E137,Omar_24,Sales,2025-03-04,Present,7.4,0.78,5.43,0
E048,Ayesha_10,QA,2025-04-21,Absent,0.0,0.0,4.2,1
E262,Ayesha_35,Support,2025-04-17,Present,7.55,2.48,6.05,0
E149,Zubair_60,Sales,2025-03-08,Remote,0.0,0.0,6.08,0
E033,Bilal_58,HR,2025-01-30,Present,8.11,0.99,6.49,0
E090,Usman_28,Logistics,2025-01-13,Present,9.64,2.67,5.33,0
E082,Ayesha_80,Engineering,2025-03-14,Absent,0.0,0.0,2.94,2
E174,Ayesha_6,Operations,2025-03-09,Present,8.01,0.92,5.33,1
E290,John_59,QA,2025-01-21,Present,8.59,5.23,4.82,1
E222,Mary_57,HR,2025-02-20,Present,8.99,1.5,6.79,0
E229,David_33,HR,2025-01-10,Present,8.6,2.22,8.16,1
E283,Zubair_73,Operations,2025-04-18,Present,6.98,1.51,1.09,1
E115,Usman_24,QA,2025-01-10,Present,8.67,4.05,6.07,1
E046,Sophia_94,HR,2025-03-10,Present,9.92,0.6,3.7,2
E121,Usman_34,QA,2025-04-12,Present,7.04,1.64,6.82,1
E257,Omar_55,Logistics,2025-04-23,Present,7.92,2.1,8.49,1
E189,Noor_22,Sales,2025-01-24,Present,8.98,0.51,4.04,2
E176,Noor_19,QA,2025-04-09,Present,7.48,1.47,7.25,0
E004,Khadija_56,Finance,2025-02-17,Present,9.0,0.0,4.13,0
E157,Fatima_37,Finance,2025-02-02,Present,8.05,0.87,2.6,0
E157,Ayesha_70,Support,2025-01-09,Present,6.11,0.0,7.92,0
E139,Zubair_51,HR,2025-02-27,Remote,0.0,0.0,7.33,0
E236,Sara_82,Finance,2025-03-24,Present,7.76,1.13,10.0,0
E058,Bilal_82,Support,2025-02-26,Present,10.15,1.23,6.37,0
E268,Fatima_83,Engineering,2025-03-07,Present,7.16,0.0,7.73,0
E274,Omar_26,Finance,2025-04-19,Present,9.48,2.34,10.0,1
E244,Ahmed_81,Support,2025-02-06,Present,9.2,2.23,5.17,0
E094,Mary_64,Support,2025-01-05,Present,6.06,2.64,1.0,0
E018,Sophia_49,QA,2025-02-15,Absent,0.0,0.0,9.85,0
E224,Ayesha_45,Logistics,2025-01-11,Present,7.64,2.54,4.38,1
E178,Khadija_42,Logistics,2025-03-05,Present,8.23,1.21,7.16,1
E265,Ayesha_79,Logistics,2025-02-21,Present,9.48,2.59,2.99,1
E295,Mary_11,Support,2025-02-09,Remote,0.0,0.0,4.66,1
E158,Hina_37,Finance,2025-02-19,Present,9.61,0.63,7.69,0
E260,Emma_9,HR,2025-02-26,Present,8.61,1.65,4.09,2
E263,David_36,Logistics,2025-03-16,Present,8.09,2.28,3.85,0
E147,Noor_10,QA,2025-03-16,Present,8.23,4.09,5.6,0
E049,Bilal_26,Engineering,2025-01-18,Present,7.18,3.36,3.99,0
E264,Ali_44,HR,2025-02-07,Present,6.42,0.19,4.1,0
E208,David_41,QA,2025-02-13,Absent,0.0,0.0,6.84,0
E219,Ali_34,Support,2025-01-06,Absent,0.0,0.0,6.97,0
E063,Fatima_50,QA,2025-02-18,Absent,0.0,0.0,2.9,1
E068,Emma_66,Sales,2025-02-02,Present,7.05,0.0,8.77,0
E277,Emma_56,Finance,2025-04-10,Present,7.36,4.38,6.64,0
E183,Khadija_82,QA,2025-04-18,Present,8.25,0.0,5.4,0
E063,Ayesha_64,Engineering,2025-04-18,Present,6.43,0.29,1.94,1
E091,Fatima_41,Logistics,2025-04-07,Remote,0.0,0.0,5.85,0
E283,Noor_66,QA,2025-03-12,Present,6.23,0.0,4.72,0
E298,Noor_24,Logistics,2025-02-13,Remote,0.0,0.0,4.92,0
E216,Sophia_51,Operations,2025-02-28,Present,7.54,0.83,6.53,0
E204,Noor_92,Sales,2025-02-14,Present,8.15,2.48,9.36,0
E271,Emma_21,Sales,2025-04-18,Absent,0.0,0.0,9.55,1
E085,Noor_51,Engineering,2025-04-21,Present,7.99,1.03,6.17,1
E007,Usman_83,Finance,2025-04-20,Present,9.49,0.78,5.46,0
E114,Ahmed_63,Operations,2025-01-16,Present,9.48,1.13,3.82,0
E017,Zubair_41,Operations,2025-04-28,Present,7.53,2.39,4.92,1
E100,Ayesha_96,Support,2025-04-30,Present,9.0,1.02,9.69,1
E165,David_56,QA,2025-01-18,Present,9.57,1.72,4.74,1
E157,Khadija_92,HR,2025-02-01,Present,6.44,0.98,1.71,3
E203,John_40,Operations,2025-04-23,Present,8.33,1.14,4.13,0
E226,Omar_39,Finance,2025-02-01,Present,7.04,0.0,10.0,0
E256,Mary_40,Finance,2025-02-13,Present,10.14,0.74,4.22,0
E225,Hina_13,Support,2025-04-13,Present,7.28,3.07,4.11,2
E177,Emma_62,Engineering,2025-03-23,Present,7.03,4.62,1.07,1
E084,Hina_86,HR,2025-04-24,Present,7.83,1.55,5.6,0
E032,Sophia_88,Engineering,2025-02-13,Present,8.07,0.98,2.95,0
E114,John_22,HR,2025-02-05,Absent,0.0,0.0,8.57,0
E019,Sara_82,Sales,2025-04-23,Absent,0.0,0.0,7.63,0
E107,Emma_89,HR,2025-02-06,Present,7.08,0.23,4.66,1
E130,Emma_21,Operations,2025-03-02,Present,7.35,1.06,7.49,0
E090,Sophia_7,Sales,2025-01-24,Present,7.13,0.0,2.34,2
E286,Ayesha_97,Engineering,2025-02-03,Present,6.92,0.0,8.18,1
E213,Omar_26,Support,2025-01-10,Absent,0.0,0.0,5.73,1
E275,Bilal_68,Logistics,2025-02-28,Present,10.23,2.56,4.69,0
E162,Khadija_79,Engineering,2025-01-28,Present,10.08,4.34,5.11,1
E055,Bilal_54,Engineering,2025-01-05,Present,8.3,0.15,4.22,0
E191,David_73,Logistics,2025-02-09,Absent,0.0,0.0,7.6,1
E016,Ahmed_39,Logistics,2025-02-07,Present,7.7,0.08,5.79,0
E155,Ayesha_69,HR,2025-03-25,Present,7.36,0.19,4.01,0
E094,Ahmed_97,Operations,2025-01-17,Absent,0.0,0.0,6.3,0
E292,David_89,HR,2025-04-26,Absent,0.0,0.0,6.46,0
E076,Fatima_46,QA,2025-01-30,Absent,0.0,0.0,8.09,1
E249,John_28,Finance,2025-02-07,Present,8.28,3.1,6.04,2
E113,Sara_21,Engineering,2025-04-26,Absent,0.0,0.0,6.01,1
E255,Hina_49,Finance,2025-04-21,Present,8.46,0.0,3.47,2
E154,Fatima_78,Sales,2025-04-05,Absent,0.0,0.0,4.98,1
E035,Ahmed_6,Finance,2025-04-11,Present,6.25,3.08,6.62,2
E244,Ahmed_27,Operations,2025-03-26,Present,8.2,0.0,5.23,1
E070,Bilal_93,Sales,2025-01-04,Present,7.34,0.0,4.78,0
E149,Fatima_93,QA,2025-01-25,Present,8.31,1.11,6.55,0
E166,Emma_35,HR,2025-01-04,Present,8.22,0.65,8.52,1
E138,Ali_41,QA,2025-03-16,Present,7.13,0.37,4.35,0
E117,Omar_35,Finance,2025-02-06,Present,6.22,0.0,5.5,1
E231,Hina_74,Finance,2025-01-04,Present,10.97,1.91,7.37,0
E100,Emma_7,Finance,2025-04-12,Present,7.59,2.0,1.07,0
E165,Mary_17,Logistics,2025-02-16,Present,5.73,2.5,6.21,0
E206,Mary_30,Sales,2025-02-25,Absent,0.0,0.0,7.26,0
E018,Ayesha_46,Logistics,2025-03-20,Absent,0.0,0.0,3.94,1
E215,Sophia_11,HR,2025-04-25,Present,9.15,0.44,6.74,0
E218,Noor_41,HR,2025-04-25,Remote,0.0,0.0,3.57,0
E295,Sara_33,QA,2025-04-18,Present,8.94,1.97,6.58,0
E241,Usman_5,Sales,2025-02-18,Absent,0.0,0.0,4.86,0
E018,Fatima_94,Operations,2025-01-02,Present,8.63,1.02,3.5,0
E014,Sophia_94,QA,2025-03-30,Present,7.33,2.16,3.59,0
E291,Sophia_53,QA,2025-02-28,Present,5.85,1.89,3.9,2
E104,Khadija_51,Engineering,2025-02-11,Remote,0.0,0.0,8.26,0
E073,Fatima_34,Support,2025-01-07,Absent,0.0,0.0,6.43,0
E299,Ahmed_49,HR,2025-02-04,Present,8.58,0.57,3.51,0
E026,Bilal_13,Operations,2025-01-07,Absent,0.0,0.0,6.41,1
E226,Hina_74,Engineering,2025-03-28,Absent,0.0,0.0,9.83,1
E031,Sophia_62,HR,2025-01-26,Present,7.98,0.38,4.85,1
E012,Mary_89,HR,2025-01-08,Absent,0.0,0.0,4.67,0
E050,Bilal_54,Support,2025-04-08,Present,8.03,4.12,4.9,2
E155,Sara_71,Finance,2025-03-05,Present,7.07,0.36,7.9,0
E134,Fatima_57,Operations,2025-02-25,Present,7.46,4.59,7.23,0
E182,John_65,HR,2025-04-22,Absent,0.0,0.0,7.03,0
E182,Ayesha_61,QA,2025-01-05,Present,6.96,1.6,5.69,0
E150,Khadija_58,Sales,2025-02-23,Present,6.22,3.03,4.58,0
E162,Fatima_16,HR,2025-04-11,Remote,0.0,0.0,8.57,0
E132,Khadija_53,Engineering,2025-01-10,Present,7.18,0.5,6.05,0
E164,Emma_7,Support,2025-01-01,Present,6.39,0.75,6.02,0
E112,Hina_67,Support,2025-01-14,Present,7.02,0.95,6.5,3
E254,Ayesha_55,Logistics,2025-03-17,Present,8.92,0.45,5.52,0
